what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1332064446009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332064446171
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1332064449370
closed,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1332064449380
activated,view,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.explorer",1332064450630
started,bundle,org.eclipse.php.debug.daemon,3.0.1.v201201110400,"org.eclipse.php.debug.daemon",1332064458770
started,bundle,org.eclipse.php.debug.core,3.0.1.v201201110400,"org.eclipse.php.debug.core",1332064458989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332064464445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332064467442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1332064467508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332064473809
opened,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1332064477753
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1332064477804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332064477932
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1332064481022
closed,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1332064481027
activated,view,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.explorer",1332064498747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332064501942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332064503472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332064532293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332064537517
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1332064537655
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1332064537731
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1332064540360
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1332064540365
activated,view,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.explorer",1332064542035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332064551227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332064553928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332064562432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332064564581
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1332064564713
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1332064564759
activated,view,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.explorer",1332064573783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332064579420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332064581332
